tower_number,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Birth_Year,Age,Cluster,Buyer_Segment
2,0,29,1107.33,362974.97,0,1,1,9,47,0,4.0,0,2,1983.0,43.0,3,Young Buyers
2,0,33,931.4,340373.72,0,1,1,9,47,0,5.0,0,2,1980.0,46.0,3,Young Buyers
2,0,33,931.4,344306.6,0,1,0,9,1,0,5.0,1,0,1976.0,50.0,3,Young Buyers
2,0,43,1118.94,311723.42,0,1,0,9,27,0,5.0,0,0,1955.0,71.0,0,Senior Home Buyers
2,0,46,697.74,191398.42,0,1,0,9,25,0,1.0,1,2,1992.0,34.0,3,Young Buyers
2,0,47,708.32,199377.29,0,1,1,9,8,1,2.0,0,0,1943.0,83.0,0,Senior Home Buyers
2,0,49,1617.9,485657.59,0,1,0,9,8,0,4.0,1,2,1994.0,32.0,1,High-Value Investors
2,0,56,722.22,197039.82,0,1,0,9,8,0,5.0,0,1,1964.0,62.0,0,Senior Home Buyers
3,0,1,689.75,231937.37,0,1,0,0,26,1,4.0,1,0,1993.0,33.0,3,Young Buyers
3,0,6,668.89,203633.01,0,1,0,4,34,0,5.0,1,2,1965.0,61.0,0,Senior Home Buyers
3,0,9,1125.84,314372.82,0,1,1,9,50,0,1.0,0,2,1994.0,32.0,3,Young Buyers
3,0,9,1125.84,361782.84,0,1,0,5,30,1,1.0,1,2,1971.0,55.0,3,Young Buyers
3,0,10,784.09,245282.25,0,1,0,9,35,0,5.0,0,2,1963.0,63.0,0,Senior Home Buyers
3,0,20,802.97,227392.48,0,1,0,1,13,0,2.0,0,2,1979.0,47.0,3,Young Buyers
3,0,21,1122.15,375891.04,0,1,0,9,8,1,2.0,0,2,1962.0,64.0,0,Senior Home Buyers
3,0,24,776.04,237580.39,0,1,1,1,7,0,3.0,0,0,1987.0,39.0,3,Young Buyers
3,0,25,765.56,208271.84,0,1,1,9,25,1,1.0,0,1,1948.0,78.0,0,Senior Home Buyers
3,0,27,1117.14,331813.63,0,1,1,9,8,0,3.0,1,2,1957.0,69.0,0,Senior Home Buyers
3,1,42,1343.96,384762.61,0,1,1,9,15,0,4.0,0,1,1977.0,49.0,1,High-Value Investors
3,0,47,691.09,194477.8,0,1,1,9,25,0,4.0,1,2,1973.0,53.0,3,Young Buyers
3,0,47,691.09,223528.63,0,1,1,9,11,0,1.0,0,2,1943.0,83.0,0,Senior Home Buyers
3,0,49,1174.48,337065.29,0,1,1,9,8,1,4.0,1,0,1998.0,28.0,3,Young Buyers
3,0,49,1174.48,376083.68,0,1,1,9,8,0,3.0,0,2,1981.0,45.0,3,Young Buyers
3,0,51,693.85,221020.03,0,1,1,8,31,0,4.0,1,2,1950.0,76.0,0,Senior Home Buyers
3,0,56,1179.42,375142.73,0,1,1,9,27,0,5.0,0,2,1942.0,84.0,0,Senior Home Buyers
3,0,56,1179.42,353361.5,0,1,0,9,47,0,1.0,0,2,1990.0,36.0,3,Young Buyers
3,1,57,1607.94,532909.35,0,1,1,9,27,0,4.0,1,2,1960.0,66.0,1,High-Value Investors
3,0,58,1588.14,442306.09,0,1,1,9,25,1,4.0,1,1,1964.0,62.0,1,High-Value Investors
3,0,58,1588.14,495478.74,0,1,1,9,8,0,3.0,0,2,1989.0,37.0,1,High-Value Investors
3,0,59,1353.02,353529.48,0,1,1,8,43,0,2.0,0,2,1970.0,56.0,1,High-Value Investors
3,0,59,1353.02,443089.55,0,1,0,9,8,1,4.0,0,0,1950.0,76.0,0,Senior Home Buyers
4,0,1,1615.98,470821.82,0,1,0,9,11,0,3.0,1,2,1965.0,61.0,1,High-Value Investors
4,0,3,1630.82,495465.48,0,1,1,9,53,0,1.0,1,0,1986.0,40.0,1,High-Value Investors
4,0,5,786.98,242144.72,0,1,0,9,8,0,5.0,0,0,1966.0,60.0,0,Senior Home Buyers
4,1,12,789.38,253171.59,0,1,0,9,8,0,4.0,1,2,1972.0,54.0,3,Young Buyers
4,0,13,809.06,241164.92,0,1,0,2,40,1,4.0,0,2,1940.0,86.0,0,Senior Home Buyers
4,0,15,760.39,202489.6,0,1,0,9,1,0,3.0,0,2,1964.0,62.0,0,Senior Home Buyers
4,0,18,1294.91,330997.32,0,1,1,9,8,0,2.0,1,2,1947.0,79.0,0,Senior Home Buyers
4,1,21,801.66,256392.52,0,1,0,9,8,0,1.0,0,0,1949.0,77.0,0,Senior Home Buyers
4,0,23,1110.99,363974.2,0,1,1,9,14,1,2.0,0,2,1975.0,51.0,3,Young Buyers
4,0,30,1307.35,399943.02,0,1,0,9,8,1,1.0,0,2,1985.0,41.0,3,Young Buyers
4,0,33,734.73,207033.36,0,1,1,9,8,0,5.0,1,2,1945.0,81.0,0,Senior Home Buyers
4,0,45,1160.48,373889.7,0,1,0,9,25,1,5.0,1,2,1954.0,72.0,0,Senior Home Buyers
4,1,46,800.23,248776.66,0,1,0,8,12,1,1.0,0,2,1943.0,83.0,0,Senior Home Buyers
4,0,47,805.88,216571.38,0,1,1,9,8,0,4.0,0,2,1973.0,53.0,0,Senior Home Buyers
4,0,51,802.11,217380.34,0,1,1,9,50,1,3.0,0,0,1965.0,61.0,0,Senior Home Buyers
5,0,4,799.1,259367.12,0,1,0,1,13,0,3.0,0,2,1959.0,67.0,0,Senior Home Buyers
5,0,4,799.1,266288.33,0,0,0,9,25,1,4.0,0,0,1961.0,65.0,2,Corporate Buyers
5,0,10,629.27,194958.35,0,1,1,9,8,0,3.0,0,2,1956.0,70.0,0,Senior Home Buyers
5,0,14,624.96,211361.79,0,1,1,9,47,0,1.0,1,2,1964.0,62.0,0,Senior Home Buyers
5,0,23,1006.65,269137.96,0,1,0,9,8,0,4.0,0,2,1967.0,59.0,0,Senior Home Buyers
5,0,27,1278.6,366303.84,0,1,1,9,8,0,1.0,1,2,1953.0,73.0,0,Senior Home Buyers
5,0,27,1278.6,396653.03,0,1,1,8,12,0,2.0,0,0,1947.0,79.0,0,Senior Home Buyers
5,0,32,1051.39,340611.95,0,1,1,9,37,1,4.0,0,0,1957.0,69.0,0,Senior Home Buyers
5,0,33,1787.13,503642.95,0,1,0,9,48,1,5.0,0,2,1980.0,46.0,1,High-Value Investors
5,0,33,1787.13,499753.6,0,1,0,9,1,0,5.0,1,2,1944.0,82.0,1,High-Value Investors
5,0,41,630.83,168855.2,0,1,0,9,8,1,3.0,0,0,1969.0,57.0,0,Senior Home Buyers
5,0,42,791.2,212618.56,0,1,1,9,8,0,2.0,0,2,1962.0,64.0,0,Senior Home Buyers
5,0,44,806.03,261814.63,0,1,0,2,40,1,5.0,0,0,1975.0,51.0,3,Young Buyers
5,0,45,608.89,192992.54,0,1,0,9,8,0,3.0,0,2,1947.0,79.0,0,Senior Home Buyers
6,0,3,605.21,185007.22,0,1,1,0,26,0,4.0,1,1,1998.0,28.0,3,Young Buyers
6,0,4,1925.28,514067.14,0,1,0,9,8,1,1.0,1,2,1979.0,47.0,1,High-Value Investors
6,0,5,1617.43,447068.49,0,1,0,0,49,0,4.0,0,0,1995.0,31.0,3,Young Buyers
6,0,7,1075.42,315829.36,0,1,0,1,52,0,4.0,0,0,1975.0,51.0,3,Young Buyers
6,0,10,942.08,255614.83,0,1,0,1,13,0,5.0,0,2,1955.0,71.0,0,Senior Home Buyers
6,0,12,1678.17,455861.82,0,1,1,2,0,1,2.0,1,2,1957.0,69.0,1,High-Value Investors
6,0,14,1890.0,494576.31,0,1,1,9,11,1,3.0,1,0,1940.0,86.0,1,High-Value Investors
6,0,15,1392.45,407106.37,0,1,0,9,48,0,3.0,0,2,1982.0,44.0,3,Young Buyers
6,0,19,1542.71,451237.67,0,1,1,9,8,0,3.0,0,2,1942.0,84.0,0,Senior Home Buyers
6,0,24,1159.75,343592.86,0,1,0,1,52,0,3.0,0,1,1993.0,33.0,3,Young Buyers
6,0,32,793.11,276441.24,0,1,1,5,17,0,3.0,1,2,1962.0,64.0,0,Senior Home Buyers
7,0,1,759.04,227804.43,0,1,1,0,41,0,3.0,0,0,1960.0,66.0,0,Senior Home Buyers
7,0,10,1495.37,432295.29,0,1,1,8,51,1,5.0,1,2,1991.0,35.0,3,Young Buyers
7,0,14,714.65,214564.09,0,1,0,9,8,1,1.0,0,2,1997.0,29.0,3,Young Buyers
7,0,16,1239.87,421526.61,0,1,1,9,25,1,5.0,1,0,1995.0,31.0,3,Young Buyers
7,0,19,751.07,223691.45,0,1,0,9,8,0,1.0,0,0,1944.0,82.0,0,Senior Home Buyers
7,0,24,852.99,260906.28,0,1,1,9,1,0,5.0,0,2,1949.0,77.0,0,Senior Home Buyers
7,0,25,573.8,163464.75,0,1,1,9,25,0,3.0,1,2,1963.0,63.0,0,Senior Home Buyers
7,1,28,694.55,222809.93,0,1,0,9,47,1,5.0,0,2,1991.0,35.0,3,Young Buyers
7,0,32,1910.67,625903.82,0,1,0,9,8,0,4.0,0,2,1942.0,84.0,1,High-Value Investors
7,0,42,702.08,190215.58,0,1,0,9,37,1,2.0,0,2,1986.0,40.0,3,Young Buyers
7,0,58,1629.83,450994.89,0,1,1,9,8,0,4.0,0,2,1940.0,86.0,1,High-Value Investors
8,0,4,1934.75,592274.66,0,1,0,9,8,0,2.0,1,1,1948.0,78.0,1,High-Value Investors
8,0,5,887.23,252418.74,0,1,1,9,53,0,1.0,0,2,1955.0,71.0,0,Senior Home Buyers
8,0,6,1370.17,382048.18,0,1,0,5,16,0,2.0,1,0,1998.0,28.0,3,Young Buyers
8,0,9,1869.81,589033.68,0,1,1,9,27,0,1.0,0,0,1961.0,65.0,1,High-Value Investors
8,0,14,685.93,227037.75,0,1,1,9,37,0,2.0,0,0,1972.0,54.0,3,Young Buyers
8,0,14,685.93,182975.25,0,1,0,9,25,0,2.0,0,0,1946.0,80.0,0,Senior Home Buyers
8,1,18,1328.53,413926.08,0,0,1,9,53,0,4.0,1,0,1993.0,33.0,2,Corporate Buyers
8,1,20,774.16,195608.73,0,1,1,9,11,0,2.0,0,0,1942.0,84.0,0,Senior Home Buyers
8,0,25,1833.58,521184.68,0,1,0,9,1,0,5.0,1,0,1976.0,50.0,1,High-Value Investors
8,0,26,1625.38,453762.41,0,1,1,8,43,1,3.0,0,0,1974.0,52.0,1,High-Value Investors
8,0,33,1809.87,499781.62,0,1,0,9,25,1,5.0,0,2,1946.0,80.0,1,High-Value Investors
8,0,36,673.86,212527.02,0,1,1,9,1,0,2.0,0,2,1957.0,69.0,0,Senior Home Buyers
8,0,36,673.86,204867.41,0,1,1,9,8,0,4.0,0,0,1967.0,59.0,0,Senior Home Buyers
8,0,37,890.65,276605.41,0,1,0,9,8,0,1.0,0,2,1991.0,35.0,3,Young Buyers
8,0,37,890.65,195943.0,0,1,0,2,22,0,4.0,0,0,1997.0,29.0,3,Young Buyers
8,0,45,1185.72,364629.72,0,1,0,9,35,0,1.0,0,0,1978.0,48.0,3,Young Buyers
8,0,46,1175.51,296772.64,0,1,1,1,52,0,5.0,1,0,1975.0,51.0,3,Young Buyers
8,0,46,1175.51,283442.68,0,1,0,9,11,1,2.0,0,0,1982.0,44.0,3,Young Buyers
8,0,48,480.99,140920.9,0,1,1,9,8,0,1.0,1,1,1985.0,41.0,3,Young Buyers
8,0,53,1891.72,543193.6,0,1,1,4,18,0,5.0,0,1,1989.0,37.0,1,High-Value Investors
8,0,54,1699.02,543500.27,0,1,0,9,8,0,5.0,1,1,1998.0,28.0,1,High-Value Investors
8,0,54,1699.02,503618.69,0,0,0,9,50,0,4.0,0,0,1969.0,57.0,2,Corporate Buyers
8,0,55,1300.05,484614.3,0,1,1,1,13,1,5.0,0,0,1963.0,63.0,1,High-Value Investors
8,0,55,1300.05,434169.98,0,1,1,9,11,0,2.0,1,1,1972.0,54.0,1,High-Value Investors
8,1,55,1300.05,488331.39,0,1,0,9,8,0,5.0,0,2,1986.0,40.0,1,High-Value Investors
8,0,56,1874.7,526682.25,0,1,0,4,34,0,5.0,1,2,1965.0,61.0,1,High-Value Investors
8,0,56,1874.7,726903.51,0,1,0,9,53,0,1.0,1,2,1992.0,34.0,1,High-Value Investors
9,0,12,952.38,306226.35,0,1,0,8,43,0,5.0,1,2,1993.0,33.0,3,Young Buyers
9,1,16,924.6,238207.62,0,1,0,9,53,1,4.0,0,2,1984.0,42.0,3,Young Buyers
9,0,20,1664.76,467860.91,0,1,1,1,7,0,3.0,0,0,1987.0,39.0,1,High-Value Investors
9,0,22,1115.88,352235.9,0,0,1,8,43,1,2.0,0,2,1989.0,37.0,2,Corporate Buyers
9,0,24,914.61,261048.14,0,1,0,9,14,0,3.0,0,0,1977.0,49.0,3,Young Buyers
9,0,26,1038.39,309260.78,0,1,0,9,50,1,2.0,0,2,1988.0,38.0,3,Young Buyers
9,1,27,1207.33,380937.24,0,1,1,9,55,0,3.0,0,0,1948.0,78.0,0,Senior Home Buyers
9,0,27,1207.33,355852.39,0,1,0,9,8,0,1.0,0,0,1968.0,58.0,0,Senior Home Buyers
9,0,29,1426.22,353758.33,0,1,1,3,29,0,2.0,0,2,1987.0,39.0,3,Young Buyers
9,0,33,973.52,286269.59,0,1,0,9,8,1,5.0,1,0,1933.0,93.0,0,Senior Home Buyers
9,0,34,1577.36,411333.06,0,1,0,9,8,0,3.0,0,1,1943.0,83.0,0,Senior Home Buyers
9,0,35,1376.88,366792.19,0,1,1,2,5,1,2.0,0,0,1961.0,65.0,1,High-Value Investors
9,0,42,605.78,197381.31,0,1,1,9,25,0,5.0,1,2,1954.0,72.0,0,Senior Home Buyers
9,0,47,1262.78,383070.84,0,1,0,8,31,1,1.0,1,2,1995.0,31.0,3,Young Buyers
9,0,53,599.72,178627.91,0,1,0,9,53,0,5.0,0,2,1953.0,73.0,0,Senior Home Buyers
9,0,54,1693.18,500160.52,0,1,1,9,8,0,3.0,1,0,1963.0,63.0,1,High-Value Investors
9,0,54,1693.18,555003.81,0,1,0,9,11,0,3.0,1,2,1965.0,61.0,1,High-Value Investors
9,0,56,1516.4,453127.52,0,1,0,5,3,0,5.0,0,0,1951.0,75.0,1,High-Value Investors
9,0,58,838.34,236365.7,0,1,0,9,47,0,5.0,0,2,1956.0,70.0,0,Senior Home Buyers
9,0,58,838.34,191641.45,0,0,1,9,25,0,3.0,0,0,1992.0,34.0,2,Corporate Buyers
10,0,5,1741.96,500277.62,0,1,0,9,8,1,3.0,1,2,1959.0,67.0,1,High-Value Investors
10,0,9,1849.4,539103.37,0,1,1,9,11,0,5.0,0,2,1960.0,66.0,1,High-Value Investors
10,0,11,1675.44,521136.09,0,1,0,9,8,0,3.0,0,0,1984.0,42.0,1,High-Value Investors
10,0,14,1318.01,344813.48,0,1,1,9,1,0,1.0,0,2,1950.0,76.0,0,Senior Home Buyers
10,0,18,1244.03,349877.5,0,1,1,9,8,0,3.0,0,1,1973.0,53.0,1,High-Value Investors
10,0,27,777.35,225796.07,0,1,0,9,8,0,1.0,1,0,1957.0,69.0,0,Senior Home Buyers
10,0,28,1606.58,532017.08,0,1,0,9,25,0,4.0,1,2,1945.0,81.0,1,High-Value Investors
10,1,31,1499.0,449151.55,0,1,1,9,8,0,3.0,0,2,1953.0,73.0,1,High-Value Investors
10,0,37,1177.85,413750.47,0,1,0,4,34,0,1.0,0,2,1973.0,53.0,1,High-Value Investors
10,0,38,476.64,159970.07,0,1,1,7,21,0,4.0,0,2,1963.0,63.0,0,Senior Home Buyers
10,0,38,476.64,143209.81,0,1,1,9,50,0,2.0,0,0,1955.0,71.0,0,Senior Home Buyers
10,0,38,476.64,156338.43,0,1,0,9,37,0,5.0,1,0,1990.0,36.0,3,Young Buyers
10,0,43,1093.67,366202.32,0,1,0,9,37,0,3.0,1,0,1970.0,56.0,3,Young Buyers
10,0,43,1093.67,338104.13,0,1,1,9,8,0,4.0,0,0,1993.0,33.0,3,Young Buyers
10,0,43,1093.67,307958.64,0,1,1,9,8,0,4.0,0,2,1956.0,70.0,0,Senior Home Buyers
10,0,44,1224.71,332253.48,0,1,1,9,8,1,1.0,0,1,1991.0,35.0,3,Young Buyers
10,0,45,1119.1,284280.68,0,1,0,9,8,0,2.0,0,2,1988.0,38.0,3,Young Buyers
11,0,1,1902.88,623754.36,0,1,1,9,14,0,2.0,0,2,1950.0,76.0,1,High-Value Investors
11,0,6,1724.08,501939.76,0,1,0,9,48,0,1.0,0,0,1942.0,84.0,1,High-Value Investors
11,0,7,1734.79,512135.16,0,1,0,9,8,0,4.0,0,2,1967.0,59.0,1,High-Value Investors
11,0,11,1581.88,508552.39,0,1,1,9,53,0,5.0,0,0,1967.0,59.0,1,High-Value Investors
11,0,14,524.68,136179.62,0,1,1,9,50,1,4.0,0,2,1944.0,82.0,0,Senior Home Buyers
11,0,23,1098.83,324271.22,0,1,0,9,35,0,4.0,0,0,1958.0,68.0,0,Senior Home Buyers
11,0,24,1481.82,460231.54,0,1,0,9,8,0,1.0,1,2,1954.0,72.0,1,High-Value Investors
11,0,27,1638.1,432388.36,0,1,1,9,27,1,5.0,1,1,1942.0,84.0,1,High-Value Investors
11,1,29,993.51,312573.06,0,1,1,9,48,1,3.0,0,0,1984.0,42.0,3,Young Buyers
11,0,29,993.51,340093.67,0,1,1,9,25,0,4.0,0,0,1973.0,53.0,3,Young Buyers
11,0,30,642.72,178243.97,0,1,0,1,52,0,1.0,0,0,1998.0,28.0,3,Young Buyers
11,0,35,540.82,143000.82,0,1,1,7,21,1,3.0,0,0,1955.0,71.0,0,Senior Home Buyers
11,1,37,1368.16,451844.69,0,0,1,5,4,0,5.0,0,2,1983.0,43.0,2,Corporate Buyers
11,0,40,638.97,167129.85,0,1,1,9,48,0,4.0,0,2,1969.0,57.0,0,Senior Home Buyers
11,0,44,434.38,108921.54,0,1,1,9,8,0,2.0,1,2,1954.0,72.0,0,Senior Home Buyers
11,0,44,434.38,144762.45,0,1,1,8,43,0,3.0,0,2,1967.0,59.0,0,Senior Home Buyers
11,0,52,1397.58,458054.04,0,1,1,9,25,1,2.0,0,0,1980.0,46.0,1,High-Value Investors
11,0,52,1397.58,362828.72,0,1,1,9,8,0,4.0,0,0,1956.0,70.0,1,High-Value Investors
11,0,52,1397.58,418331.0,0,1,1,9,47,0,3.0,1,1,1984.0,42.0,1,High-Value Investors
11,0,56,724.8,221884.06,0,1,1,9,8,0,2.0,1,0,1943.0,83.0,0,Senior Home Buyers
11,0,58,1159.31,317901.09,0,1,1,9,8,0,1.0,0,0,1946.0,80.0,0,Senior Home Buyers
11,1,61,1299.46,407363.8,0,1,1,9,37,1,5.0,0,0,1964.0,62.0,1,High-Value Investors
11,1,61,1299.46,349404.33,0,1,1,9,8,1,1.0,0,0,1958.0,68.0,1,High-Value Investors
11,0,65,1427.09,500988.76,0,1,0,4,6,1,2.0,0,0,1994.0,32.0,1,High-Value Investors
12,1,12,959.05,288890.05,0,1,1,9,25,0,1.0,0,2,1994.0,32.0,3,Young Buyers
12,0,14,1369.96,445754.21,0,1,0,9,14,1,3.0,0,0,1980.0,46.0,1,High-Value Investors
12,0,22,892.67,269005.9,0,1,1,9,8,0,3.0,1,0,1971.0,55.0,3,Young Buyers
12,0,25,1540.51,480266.48,0,1,0,9,8,0,5.0,0,2,1948.0,78.0,1,High-Value Investors
12,0,29,688.73,165789.68,0,1,1,9,48,0,2.0,1,2,1957.0,69.0,0,Senior Home Buyers
12,0,35,1690.62,371936.4,0,1,0,9,8,0,4.0,0,2,1964.0,62.0,1,High-Value Investors
12,0,38,1157.23,343865.15,0,1,0,9,11,0,2.0,1,0,1992.0,34.0,3,Young Buyers
12,0,39,1653.93,596471.37,0,1,0,9,8,0,4.0,0,1,1956.0,70.0,1,High-Value Investors
12,1,43,1893.23,595281.62,0,1,1,9,8,1,1.0,1,0,1967.0,59.0,1,High-Value Investors
12,0,44,635.36,222895.04,0,1,1,1,13,0,5.0,0,2,1964.0,62.0,0,Senior Home Buyers
13,0,2,1651.02,520934.42,0,1,1,5,16,1,3.0,1,2,1947.0,79.0,1,High-Value Investors
13,0,2,1651.02,506031.7,0,1,0,9,27,0,3.0,0,0,1965.0,61.0,1,High-Value Investors
13,0,3,979.64,277095.12,0,1,0,9,53,1,5.0,1,0,1994.0,32.0,3,Young Buyers
13,0,4,1629.74,508492.43,0,1,0,9,11,1,4.0,1,2,1967.0,59.0,1,High-Value Investors
13,0,14,777.75,202719.39,0,1,0,9,8,0,1.0,1,0,1948.0,78.0,0,Senior Home Buyers
13,0,15,458.29,148440.79,0,1,1,9,8,0,5.0,1,1,1947.0,79.0,0,Senior Home Buyers
13,0,17,1278.95,355143.03,0,0,1,9,8,0,4.0,0,2,1989.0,37.0,2,Corporate Buyers
13,0,20,516.72,136913.45,0,1,0,9,8,1,1.0,0,2,1998.0,28.0,3,Young Buyers
13,0,22,1811.36,536988.38,0,1,1,3,56,0,4.0,0,2,1946.0,80.0,1,High-Value Investors
13,0,29,568.7,150790.34,0,1,1,9,14,0,4.0,0,1,1944.0,82.0,0,Senior Home Buyers
13,0,33,1445.84,443358.25,0,1,1,9,8,0,5.0,1,1,1974.0,52.0,1,High-Value Investors
13,0,37,1555.67,500885.96,0,1,1,9,48,1,2.0,1,2,1970.0,56.0,1,High-Value Investors
13,0,37,1555.67,458458.71,0,1,1,9,15,1,1.0,1,2,1997.0,29.0,3,Young Buyers
13,0,40,571.5,197250.4,0,1,0,9,37,0,3.0,0,0,1953.0,73.0,0,Senior Home Buyers
13,0,43,1875.83,599817.91,0,1,1,9,8,1,3.0,0,0,1951.0,75.0,1,High-Value Investors
13,0,49,572.01,163367.5,0,1,0,9,15,0,4.0,0,2,1977.0,49.0,3,Young Buyers
13,0,53,968.77,263567.44,0,1,0,9,8,0,5.0,1,2,1996.0,30.0,3,Young Buyers
13,0,59,1434.04,484604.41,0,1,1,8,43,1,4.0,1,2,1997.0,29.0,3,Young Buyers
13,0,68,1590.69,429908.37,0,1,0,9,37,0,3.0,1,1,1944.0,82.0,1,High-Value Investors
13,0,70,750.41,229357.3,0,1,0,9,48,1,5.0,1,2,1940.0,86.0,0,Senior Home Buyers
13,0,70,750.41,226404.55,0,1,0,9,8,0,2.0,1,0,1942.0,84.0,0,Senior Home Buyers
14,0,2,922.7,288742.14,0,0,1,9,11,1,2.0,0,0,1980.0,46.0,2,Corporate Buyers
14,0,6,1733.36,470883.03,0,1,1,9,48,0,4.0,1,0,1974.0,52.0,1,High-Value Investors
14,1,6,1733.36,605216.52,0,1,0,8,31,0,5.0,0,2,1966.0,60.0,1,High-Value Investors
